City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,169,Kavieng,PG,2021-11-27 18:22:21,-2.5744,150.7967,81.79,73,87,2.55
170,170,Golden,US,2021-11-27 18:22:21,39.7555,-105.2211,54.88,29,40,11.5
171,171,Shimanovsk,RU,2021-11-27 18:22:22,52.0,127.7,13.17,96,100,3.18
172,172,Guerrero Negro,MX,2021-11-27 18:22:22,27.9769,-114.0611,73.9,44,1,12.55
173,173,Mount Gambier,AU,2021-11-27 18:22:23,-37.8333,140.7667,45.61,92,1,6.31
174,174,Lodwar,KE,2021-11-27 18:22:23,3.1191,35.5973,85.15,49,34,20.47
175,175,Berezovyy,RU,2021-11-27 18:22:24,51.6667,135.7,10.58,91,24,4.0
176,176,Hithadhoo,MV,2021-11-27 18:22:24,-0.6,73.0833,82.02,73,35,16.4
177,177,Cayenne,GF,2021-11-27 18:22:24,4.9333,-52.3333,86.04,70,40,13.8
178,178,Tamiahua,MX,2021-11-27 18:22:25,21.2667,-97.45,74.89,60,54,4.72
179,179,Ostrovnoy,RU,2021-11-27 18:22:25,68.0531,39.5131,8.51,90,71,7.4
180,180,Tuktoyaktuk,CA,2021-11-27 18:22:26,69.4541,-133.0374,-7.6,77,90,21.85
181,181,Rundu,,2021-11-27 18:22:27,-17.9333,19.7667,82.11,32,76,4.59
182,182,Belfast,GB,2021-11-27 18:21:17,54.5833,-5.9333,39.02,65,20,4.61
183,183,Glendive,US,2021-11-27 18:22:27,47.1053,-104.7125,40.62,81,90,3.44
184,184,Rodrigues Alves,BR,2021-11-27 18:22:28,-7.738,-72.6509,93.4,49,66,3.8
185,185,Truth Or Consequences,US,2021-11-27 18:22:00,33.1284,-107.2528,55.63,35,1,4.61
186,186,Paracuru,BR,2021-11-27 18:22:29,-3.41,-39.0306,87.82,63,53,12.41
187,187,Wittmund,DE,2021-11-27 18:22:29,53.5667,7.7833,39.25,93,75,4.61
188,188,Miyako,JP,2021-11-27 18:22:30,39.6367,141.9525,38.7,76,11,7.65
189,189,Inongo,CD,2021-11-27 18:22:30,-1.95,18.2667,75.06,76,22,2.21
190,190,Nikolskoye,RU,2021-11-27 18:22:31,59.7035,30.7861,26.49,80,100,12.48
191,191,Toamasina,MG,2021-11-27 18:22:31,-18.1667,49.3833,78.8,83,75,5.75
192,192,Ashland,US,2021-11-27 18:22:32,40.8167,-82.2665,33.76,34,71,10.65
193,193,Wanning,CN,2021-11-27 18:22:32,18.8003,110.3967,72.81,86,100,16.73
194,194,Mareeba,AU,2021-11-27 18:22:33,-17.0,145.4333,70.52,97,58,2.21
195,195,Hirara,JP,2021-11-27 18:22:33,24.8,125.2833,71.58,73,100,28.57
196,196,Nushki,PK,2021-11-27 18:22:34,29.5542,66.0215,50.61,32,0,2.17
197,197,Hami,CN,2021-11-27 18:22:34,42.8,93.45,28.44,45,100,10.36
198,198,Lebedyn,UA,2021-11-27 18:22:35,50.5852,34.4849,44.67,95,100,8.01
199,199,Luderitz,,2021-11-27 18:22:35,-26.6481,15.1594,62.76,82,0,6.04
200,200,Olafsvik,IS,2021-11-27 18:22:36,64.8945,-23.7142,39.24,90,100,1.36
201,201,Saint-Augustin,CA,2021-11-27 18:22:36,51.226,-58.6502,43.41,96,100,14.79
202,202,Honningsvag,NO,2021-11-27 18:22:37,70.9821,25.9704,27.07,65,57,24.63
203,203,Tabou,CI,2021-11-27 18:22:37,4.423,-7.3528,80.96,77,33,8.43
204,204,Leshukonskoye,RU,2021-11-27 18:22:38,64.8989,45.7622,-0.2,100,87,2.46
205,205,Soyo,AO,2021-11-27 18:22:38,-6.1349,12.3689,77.05,87,98,4.76
206,206,Staraya Mayna,RU,2021-11-27 18:22:38,54.6,48.95,26.71,81,86,15.82
207,207,Padang,ID,2021-11-27 18:22:39,-0.9492,100.3543,77.05,74,92,3.13
208,208,Bibiani,GH,2021-11-27 18:22:40,6.4635,-2.3194,79.11,69,84,2.48
209,209,Tasiilaq,GL,2021-11-27 18:22:40,65.6145,-37.6368,30.36,74,100,9.17
210,210,Palo Alto,US,2021-11-27 18:20:20,37.4419,-122.143,59.45,68,1,0.0
211,211,Otukpo,NG,2021-11-27 18:22:41,7.1913,8.1329,85.28,40,73,0.54
212,212,Nakamura,JP,2021-11-27 18:22:42,32.9833,132.9333,39.42,77,0,4.09
213,213,Arauco,CL,2021-11-27 18:22:42,-37.2463,-73.3175,64.42,49,4,13.53
214,214,Norman Wells,CA,2021-11-27 18:22:43,65.282,-126.8329,-16.56,76,20,5.75
215,215,San Quintin,MX,2021-11-27 18:22:43,30.4833,-115.95,71.47,33,0,1.5
216,216,Amahai,ID,2021-11-27 18:22:44,-3.3333,128.9167,78.82,86,100,3.2
217,217,Mar Del Plata,AR,2021-11-27 18:19:09,-38.0023,-57.5575,62.62,94,90,12.66
218,218,Urengoy,RU,2021-11-27 18:22:44,65.9667,78.3667,4.55,96,100,9.71
219,219,Fortuna,US,2021-11-27 18:22:45,40.5982,-124.1573,61.14,87,1,0.0
220,220,Kenora,CA,2021-11-27 18:22:45,49.8167,-94.4337,30.18,80,75,8.05
221,221,Polaniec,PL,2021-11-27 18:22:46,50.4332,21.2812,37.85,85,68,5.14
222,222,Maunatlala,BW,2021-11-27 18:22:46,-22.597,27.6301,67.86,60,19,13.53
223,223,Lavrentiya,RU,2021-11-27 18:22:47,65.5833,-171.0,-10.12,91,4,8.28
224,224,Obo,CF,2021-11-27 18:22:47,5.3998,26.4869,77.99,37,8,2.26
225,225,Prieska,ZA,2021-11-27 18:22:48,-29.6641,22.7474,73.47,19,0,16.49
226,226,Marienburg,PL,2021-11-27 18:22:48,54.0359,19.0266,37.06,88,100,4.32
227,227,Mumford,GH,2021-11-27 18:22:49,5.2618,-0.759,81.16,77,45,10.09
228,228,Chokurdakh,RU,2021-11-27 18:22:49,70.6333,147.9167,-33.83,100,85,1.03
229,229,Broome,US,2021-11-27 18:22:50,42.2506,-75.833,30.78,68,90,10.36
230,230,Kudahuvadhoo,MV,2021-11-27 18:22:50,2.6708,72.8944,81.73,71,99,17.49
231,231,Torbat-E Jam,IR,2021-11-27 18:22:51,35.244,60.6225,45.57,52,4,1.41
232,232,Shelburne,CA,2021-11-27 18:22:51,44.0787,-80.2041,30.09,71,47,8.79
233,233,Dubbo,AU,2021-11-27 18:22:52,-32.25,148.6167,57.33,77,90,13.8
234,234,Beira,MZ,2021-11-27 18:22:52,-19.8436,34.8389,77.09,61,0,13.8
235,235,Gazanjyk,TM,2021-11-27 18:22:53,39.2446,55.5154,48.54,50,40,7.87
236,236,Tura,IN,2021-11-27 18:22:53,25.5198,90.2201,59.9,77,6,4.56
237,237,Sungairaya,ID,2021-11-27 18:22:54,0.7,108.9,78.53,87,100,4.85
238,238,Zabid,YE,2021-11-27 18:22:54,14.1951,43.3152,82.71,58,3,3.87
239,239,Port Hardy,CA,2021-11-27 18:22:54,50.6996,-127.4199,46.4,87,90,20.71
240,240,Viedma,AR,2021-11-27 18:22:55,-40.8135,-62.9967,73.15,55,98,5.32
241,241,Mehamn,NO,2021-11-27 18:22:55,71.0357,27.8492,17.78,77,61,16.49
242,242,Hibbing,US,2021-11-27 18:22:56,47.4272,-92.9377,29.55,68,90,4.61
243,243,Srednekolymsk,RU,2021-11-27 18:22:56,67.45,153.6833,-37.39,100,24,0.67
244,244,Saint-Philippe,RE,2021-11-27 18:22:57,-21.3585,55.7679,76.59,85,58,4.85
245,245,Gamba,GA,2021-11-27 18:22:57,-2.65,10.0,76.37,90,100,8.88
246,246,Ngunguru,NZ,2021-11-27 18:22:58,-35.6167,174.5,59.34,84,81,5.01
247,247,Dicabisagan,PH,2021-11-27 18:22:58,17.0818,122.4157,76.19,93,96,5.55
248,248,Leningradskiy,RU,2021-11-27 18:22:59,69.3833,178.4167,-19.75,90,6,8.72
249,249,Grand-Lahou,CI,2021-11-27 18:22:59,5.1367,-5.0242,80.96,78,22,8.01
250,250,Port Hedland,AU,2021-11-27 18:23:00,-20.3167,118.5667,82.45,32,2,8.05
251,251,Shingu,JP,2021-11-27 18:23:00,33.7333,135.9833,40.35,78,0,5.48
252,252,Salalah,OM,2021-11-27 18:23:01,17.0151,54.0924,78.89,69,0,4.61
253,253,Odweyne,SO,2021-11-27 18:23:01,9.4092,45.064,72.05,60,97,13.44
254,254,Burnie,AU,2021-11-27 18:23:02,-41.0667,145.9167,47.73,85,14,6.67
255,255,Kruisfontein,ZA,2021-11-27 18:23:02,-34.0033,24.7314,61.38,81,55,1.12
256,256,Flin Flon,CA,2021-11-27 18:23:03,54.7682,-101.865,28.24,59,20,19.57
257,257,Urucuca,BR,2021-11-27 18:23:03,-14.5931,-39.2844,83.21,56,40,7.43
258,258,Ewa Beach,US,2021-11-27 18:23:03,21.3156,-158.0072,73.35,75,75,3.44
259,259,Beringovskiy,RU,2021-11-27 18:23:04,63.05,179.3167,2.62,97,100,8.86
260,260,Gazli,UZ,2021-11-27 18:23:04,40.1333,63.45,40.77,50,93,9.04
261,261,Santa Teresa,VE,2021-11-27 18:23:05,10.2341,-66.6631,79.72,45,80,2.95
262,262,Nakanojo,JP,2021-11-27 18:23:05,36.5833,138.85,35.74,83,23,5.39
263,263,Lasa,IT,2021-11-27 18:23:06,46.6166,10.7002,40.08,95,85,3.02
264,264,San Rafael,AR,2021-11-27 18:20:37,-34.6177,-68.3301,74.41,34,79,22.53
265,265,Zemio,CF,2021-11-27 18:23:06,5.0314,25.1361,77.63,33,11,1.9
266,266,Poum,NC,2021-11-27 18:23:07,-20.2333,164.0167,79.05,77,2,12.21
267,267,Mackay,AU,2021-11-27 18:23:08,-21.15,149.2,76.91,83,34,4.12
268,268,Constitucion,CL,2021-11-27 18:23:08,-35.3333,-72.4167,62.02,61,3,19.42
269,269,Roma,US,2021-11-27 18:18:28,43.2128,-75.4557,33.94,51,90,17.27
270,270,Puerto Quijarro,BO,2021-11-27 18:23:09,-17.7833,-57.7667,95.74,39,97,7.09
271,271,Havre-Saint-Pierre,CA,2021-11-27 18:23:10,50.2334,-63.5986,43.39,100,90,13.8
272,272,Khurda,IN,2021-11-27 18:23:10,20.1833,85.6167,71.51,77,99,3.96
273,273,Saraland,US,2021-11-27 18:23:11,30.8207,-88.0706,60.8,27,96,0.96
274,274,Tromso,NO,2021-11-27 18:23:11,69.6496,18.957,19.42,68,0,17.27
275,275,Igurusi,TZ,2021-11-27 18:23:12,-8.85,33.85,69.96,70,53,3.44
276,276,Cherskiy,RU,2021-11-27 18:23:12,68.75,161.3,-26.18,93,7,4.07
277,277,Kalmunai,LK,2021-11-27 18:23:13,7.4167,81.8167,79.16,86,93,2.51
278,278,Ebolowa,CM,2021-11-27 18:23:13,2.9,11.15,72.03,88,66,2.66
279,279,Montorio Al Vomano,IT,2021-11-27 18:23:14,42.5831,13.6383,54.14,82,62,7.94
280,280,Sheridan,US,2021-11-27 18:23:14,44.8333,-106.9173,46.78,46,1,3.44
