City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Matam,SN,84.79,clear sky,15.6175,-13.3303,Auberge Beelel Jeeri
390,Castro Alves,BR,72.37,overcast clouds,-12.7656,-39.4283,Hotel e Restaurante do Poeta
391,Neuquen,AR,82.92,clear sky,-38.9516,-68.0591,Hotel del Comahue
393,Isangel,VU,81.21,light rain,-19.55,169.2667,Tanna Lodge
394,Victoria,HK,67.98,scattered clouds,22.2855,114.1577,Mini Hotel Central
395,Harlingen,US,75.38,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
399,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
401,Ritchie,ZA,69.73,clear sky,-29.038,24.6028,Riverside Country Club Modderrivier
402,Ballina,AU,68.04,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
406,Mbanza-Ngungu,CD,69.08,light rain,-5.25,14.8667,Hotel Full Business
408,Muisne,EC,78.91,light rain,0.6,-80.0333,Quinta Samay
410,Kavaratti,IN,81.0,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
414,Canico,PT,65.03,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
416,Cukai,MY,75.24,heavy intensity rain,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
417,Kaele,CM,81.52,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
418,Pedra Azul,BR,69.67,clear sky,-16.0053,-41.2972,Pousada Pedra Azul
420,Manicore,BR,82.74,overcast clouds,-5.8092,-61.3003,Hotel Durval
421,Biak,ID,75.97,overcast clouds,-0.9131,122.8766,Penginapan Kim
422,San Rafael,AR,80.04,clear sky,-34.6177,-68.3301,Hotel San Rafael
423,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Fórum
426,Humaita,BR,80.92,light rain,-7.5061,-63.0208,Corrêa Hotel
427,Bac Lieu,VN,74.95,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
430,Flagstaff,US,62.26,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
433,Marawi,PH,68.07,broken clouds,7.9986,124.2928,Derogongan Residence
434,Dingle,PH,75.07,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
435,San Policarpo,PH,80.49,overcast clouds,12.1791,125.5072,Agapita M. Nicart
437,Padang,ID,75.94,light rain,-0.9492,100.3543,Mercure Padang
438,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
440,Richards Bay,ZA,73.22,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
442,Zhuhai,CN,67.71,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
443,Pamekasan,ID,76.17,light rain,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
447,Terrell,US,64.96,clear sky,32.736,-96.2753,"Holiday Inn Express & Suites Terrell, an IHG Hotel"
450,Ahuimanu,US,82.11,clear sky,21.4447,-157.8378,Paradise Bay Resort
452,Turbat,PK,68.77,clear sky,26.0023,63.044,Mubashar Quarters
453,Los Chiles,CR,79.11,broken clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
454,Palmerston,AU,78.78,few clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
456,Bandarbeyla,SO,77.7,scattered clouds,9.4942,50.8122,JABIR HOTEL
457,Hirara,JP,70.38,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
460,Newala,TZ,66.29,few clouds,-10.9431,39.2787,Mnyeu Newala
461,Don Sak,TH,78.91,overcast clouds,9.3168,99.6918,Sea Sun Moon Hostel
464,Nchelenge,ZM,69.98,light rain,-9.3451,28.734,KD Travellers Home
466,Lamar,US,64.31,clear sky,33.6668,-95.5836,Kings Inn Paris TX
467,Abonnema,NG,79.14,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
469,Sakakah,SA,62.51,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
470,Celestun,MX,78.91,overcast clouds,20.8667,-90.4,Posada Lilia
472,Sampit,ID,70.74,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
474,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
476,Chapada Dos Guimaraes,BR,83.86,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
479,Barra Dos Coqueiros,BR,77.02,broken clouds,-10.9089,-37.0386,Jangadeiro
481,Tuy Hoa,VN,75.06,heavy intensity rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
483,Airai,TL,60.44,overcast clouds,-8.9266,125.4092,Juvinal Martin
484,Faanui,PF,81.41,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
485,Kuah,MY,76.69,overcast clouds,6.3265,99.8432,Azio Hotel
