City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Vanimo,PG,-2.6741,141.3028,77.32,89,99,5.5,overcast clouds
189,Hualmay,PE,-11.0964,-77.6139,70.07,75,76,10.49,broken clouds
190,Chudniv,UA,50.052,28.1175,41.67,96,61,7.54,broken clouds
191,Vardo,NO,70.3705,31.1107,17.58,86,75,16.11,light snow
192,Sinnamary,GF,5.3833,-52.95,80.1,77,19,8.08,few clouds
193,Hutchinson,US,38.0608,-97.9298,57.15,30,1,8.05,clear sky
194,San Andres,CO,12.5847,-81.7006,80.62,89,75,11.5,broken clouds
195,Bundaberg,AU,-24.85,152.35,73.69,100,90,8.05,overcast clouds
196,Vung Tau,VN,10.346,107.0843,77.2,87,100,13.73,heavy intensity rain
197,Maragogi,BR,-9.0122,-35.2225,80.35,81,34,13.65,scattered clouds
198,Quatre Cocos,MU,-20.2078,57.7625,76.06,71,4,4.79,clear sky
199,Ola,RU,59.5833,151.2833,14.83,87,100,4.21,light snow
200,Rio Grande,BR,-32.035,-52.0986,75.31,88,100,11.92,light rain
201,Vanavara,RU,60.34,102.2797,7.25,97,100,3.83,overcast clouds
202,Poum,NC,-20.2333,164.0167,79.75,76,39,5.01,scattered clouds
203,Sambava,MG,-14.2667,50.1667,76.6,85,48,7.96,light rain
204,Upernavik,GL,72.7868,-56.1549,-9.53,80,8,11.07,clear sky
205,Milkovo,RU,54.7167,158.6167,-4.13,89,100,0.29,overcast clouds
206,Porto Santo,PT,33.072,-16.3415,64.31,63,40,10.36,scattered clouds
207,Villanueva De Cordoba,ES,38.3228,-4.6287,35.33,73,22,11.14,few clouds
208,Premia De Mar,ES,41.4921,2.3652,44.58,52,0,8.19,clear sky
209,Mackenzie,CA,55.2999,-123.1698,38.32,93,68,7.67,broken clouds
210,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,40,6.91,scattered clouds
211,Bereda,ES,43.2686,-7.5406,47.95,96,100,6.4,overcast clouds
212,Iqaluit,CA,63.7506,-68.5145,21.58,74,100,9.57,overcast clouds
213,Acayucan,MX,17.95,-94.9167,74.14,78,99,5.35,overcast clouds
214,Wattegama,LK,6.7989,81.4808,74.21,95,99,2.66,overcast clouds
215,Waipawa,NZ,-41.4122,175.5153,63.23,67,71,5.5,broken clouds
216,Taltal,CL,-25.4,-70.4833,65.21,70,25,4.97,scattered clouds
217,Abu Dhabi,AE,24.4667,54.3667,77.4,57,0,14.94,clear sky
218,Husavik,IS,66.0449,-17.3389,27.46,95,100,5.06,light snow
219,Sjovegan,NO,68.8726,17.8474,23.23,94,100,6.42,light snow
220,Waddan,LY,29.1614,16.139,77.88,19,100,11.36,overcast clouds
221,Sibolga,ID,1.7427,98.7792,74.35,89,100,1.92,overcast clouds
222,Tiksi,RU,71.6872,128.8694,-13.72,99,99,6.53,overcast clouds
223,Altamira,BR,-3.2033,-52.2064,83.23,57,95,2.71,overcast clouds
224,Samarai,PG,-10.6167,150.6667,82.06,81,100,8.86,overcast clouds
225,Wamba,NG,8.9333,8.6,75.7,25,51,4.23,broken clouds
226,Adre,TD,13.4667,22.2,73.58,18,0,11.72,clear sky
227,Barrow,US,71.2906,-156.7887,-11.18,70,90,11.5,haze
228,Truth Or Consequences,US,33.1284,-107.2528,64.63,19,1,0.0,clear sky
229,Kattivakkam,IN,13.2167,80.3167,77.09,89,99,9.93,overcast clouds
230,Puerto Leguizamo,CO,-0.1934,-74.7819,79.66,86,100,1.72,overcast clouds
231,Barstow,US,34.8986,-117.0228,74.75,7,0,4.76,clear sky
232,Russell,US,32.3502,-85.1999,55.11,54,90,0.0,overcast clouds
233,Do Gonbadan,IR,30.3586,50.7981,60.1,59,51,2.91,broken clouds
234,Chulumani,BO,-16.4096,-67.5263,71.01,91,100,4.18,overcast clouds
235,Jacqueville,CI,5.2052,-4.4146,78.71,78,26,11.07,scattered clouds
236,Golden,US,39.7555,-105.2211,67.69,18,75,18.41,broken clouds
237,Esperance,AU,-33.8667,121.9,64.24,89,95,16.08,overcast clouds
238,Lima,PE,-12.0432,-77.0282,66.45,77,40,10.36,scattered clouds
239,Gilgit,PK,35.9221,74.3087,42.98,54,78,3.11,broken clouds
240,La Ronge,CA,55.1001,-105.2842,24.98,71,100,9.26,overcast clouds
241,Bisira,PA,8.5196,-81.7115,62.94,84,100,5.73,overcast clouds
242,Colac,AU,-38.3333,143.5833,54.05,83,4,5.37,clear sky
243,Chokurdakh,RU,70.6333,147.9167,-39.03,100,79,0.58,broken clouds
244,Todi,IT,42.7799,12.4046,42.62,83,39,6.17,scattered clouds
245,Poso,ID,-1.3959,120.7524,75.92,92,100,3.65,overcast clouds
246,Agropoli,IT,40.3469,14.9966,53.64,66,100,11.34,overcast clouds
247,Omsukchan,RU,62.5333,155.8,-14.75,100,100,3.02,overcast clouds
248,La Romana,DO,18.4273,-68.9728,86.36,74,40,9.22,scattered clouds
249,Matay,EG,28.419,30.7792,73.81,24,72,7.72,broken clouds
250,Geraldton,AU,-28.7667,114.6,66.61,94,75,10.36,broken clouds
251,Teacapan,MX,22.55,-105.75,79.5,61,99,9.75,overcast clouds
252,Patacamaya,BO,-17.2333,-67.9167,60.53,43,99,7.85,light rain
253,Manadhoo,MV,5.7667,73.3833,80.55,78,97,12.75,heavy intensity rain
254,Teya,RU,60.3778,92.6267,12.58,88,92,10.04,overcast clouds
255,Kabanjahe,ID,3.1001,98.4908,61.56,97,100,4.21,moderate rain
256,San Patricio,US,28.017,-97.5169,70.21,62,100,10.16,overcast clouds
257,Rio Gallegos,AR,-51.6226,-69.2181,60.33,29,100,38.88,overcast clouds
258,Half Moon Bay,US,37.4636,-122.4286,68.18,59,20,0.0,few clouds
259,Cap Malheureux,MU,-19.9842,57.6142,77.09,71,6,7.54,clear sky
260,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,73,75,19.57,broken clouds
261,Juneau,US,58.3019,-134.4197,30.25,93,75,5.75,snow
262,Clyde River,CA,70.4692,-68.5914,-1.97,84,100,19.57,light snow
263,Agadir,MA,30.4202,-9.5982,54.05,45,0,4.97,clear sky
264,Hervey Bay,AU,-25.2986,152.8535,73.51,87,52,14.18,broken clouds
265,Awbari,LY,26.5921,12.7805,72.46,24,99,8.23,overcast clouds
266,Akcaabat,TR,41.0212,39.5715,71.47,35,75,16.11,broken clouds
267,Souillac,MU,-20.5167,57.5167,75.79,77,0,5.95,clear sky
268,Constitucion,CL,-35.3333,-72.4167,63.14,57,6,20.83,clear sky
269,Roma,US,43.2128,-75.4557,33.66,86,90,5.75,light snow
270,Kawambwa,ZM,-9.7915,29.0791,62.74,95,82,3.96,light rain
271,Provideniya,RU,64.3833,-173.3,-3.89,50,0,6.71,clear sky
272,Bay Roberts,CA,47.5999,-53.2648,45.25,74,76,12.93,broken clouds
273,Marabba,SD,12.35,32.1833,88.11,24,1,12.55,clear sky
274,Kyshtovka,RU,56.555,76.6271,11.7,96,76,7.25,broken clouds
275,Portland,US,45.5234,-122.6762,62.58,67,1,10.36,clear sky
